"id","name","specialization","degree","hospital_name","link"
1,"Dr. Arvinder Singh Soin","Liver Transplant","FRCS (Gen Surg) , FRCS (Glas) , FRCS (Edin) , Primary FRCS , MS (THESIS) , MBBS","Medanta, IN","https://www.medanta.org/hospitals-near-me/gurugram-hospital/speciality/liver-transplantation/doctor/dr-arvinder-singh-soin"
2,"Chhavi Kohli","Endocrinology & Diabetes","PG Diploma in Public Health Nutrition , M. Sc in Foods and Nutrition (Dietetics) , B.Sc. in Clinical Nutrition and Dietetics","Medanta, IN","https://www.medanta.org/hospitals-near-me/gurugram-hospital/speciality/endocrinology-diabetology/doctor/dr-chhavi-kohli"
3,"Dr. Abha Thakur","Lab & Pathology","MD, Pathology , MBBS","Medanta, IN","https://www.medanta.org/hospitals-near-me/gurugram-hospital/speciality/lab-pathology/doctor/dr-abha-thakur"
4,"Dr. Abhyuday Singh Rana","Nephrology 
                                                    Kidney Transplant  
                                                    Renal Care","DNB (Nephrology) , DNB (Medicine) , MBBS (MD Physician)","Medanta, IN","https://www.medanta.org/hospitals-near-me/gurugram-hospital/speciality/urology-nephrology/doctor/dr-abhyuday-singh-rana"
5,"Dr. Abhyuday Singh Rana","Nephrology 
                                                    Kidney Transplant  
                                                    Renal Care","DNB (Nephrology) , DNB (Medicine) , MBBS (MD Physician)","Medanta, IN","https://www.medanta.org/hospitals-near-me/gurugram-hospital/speciality/nephrology/doctor/dr-abhyuday-singh-rana"
6,"Dr. Abhyuday Singh Rana","Nephrology 
                                                    Kidney Transplant  
                                                    Renal Care","DNB (Nephrology) , DNB (Medicine) , MBBS (MD Physician)","Medanta, IN","https://www.medanta.org/hospitals-near-me/gurugram-hospital/speciality/kidney-transplant/doctor/dr-abhyuday-singh-rana"
7,"Dr. Ankush Singh","Paediatric Neurology 
                                                    Paediatric Care","DM , MD (Paediatrics) , MBBS","Medanta, IN","https://www.medanta.org/hospitals-near-me/gurugram-hospital/speciality/paediatrics/doctor/dr-ankush-singh"
8,"Dr. Ankush Singh","Paediatric Neurology 
                                                    Paediatric Care","DM , MD (Paediatrics) , MBBS","Medanta, IN","https://www.medanta.org/hospitals-near-me/gurugram-hospital/speciality/neurology-paed/doctor/dr-ankush-singh"
9,"Dr. Hardeep Kaur Grewal","Clinical & Preventive Cardiology 
                                                    Cardiac Care","MRCP (UK) , Fellowship non- invasive cardiology (basic and advanced imaging) , Post graduate Diploma in clinical and preventive cardiology , MBBS","Medanta, IN","https://www.medanta.org/hospitals-near-me/gurugram-hospital/speciality/cardiology/doctor/dr-hardeep-kaur"
10,"Dr. Hardeep Kaur Grewal","Clinical & Preventive Cardiology 
                                                    Cardiac Care","MRCP (UK) , Fellowship non- invasive cardiology (basic and advanced imaging) , Post graduate Diploma in clinical and preventive cardiology , MBBS","Medanta, IN","https://www.medanta.org/hospitals-near-me/gurugram-hospital/speciality/clinical-preventive/doctor/dr-hardeep-kaur"
11,"Dr. Jaiprakash Sharma","Radiology & Imaging","MD Radiology , MBBS","Medanta, IN","https://www.medanta.org/hospitals-near-me/gurugram-hospital/speciality/radiology/doctor/dr-jaiprakash-sharma"
12,"Dr. Maryada Jauhari","Internal Medicine","DNB Family Medicine , MBBS","Medanta, IN","https://www.medanta.org/hospitals-near-me/gurugram-hospital/speciality/internal-medicine/doctor/dr-maryada-jauhari"
13,"Dr. Nitin Sood","Medical Oncology 
                                                    Bone Marrow Transplant 
                                                    Cancer Care","CCT (Haemato Oncology) , F.R.C. (Pathology) , MRCPath (Associate Haematology) , MRCP (UK) , D.N.B. (General Medicine) , M.D. (General Medicine) , M.B.B.S.","Medanta, IN","https://www.medanta.org/hospitals-near-me/gurugram-hospital/speciality/bone-marrow-transplant/doctor/dr-nitin-sood"
14,"Dr. Nitin Sood","Medical Oncology 
                                                    Bone Marrow Transplant 
                                                    Cancer Care","CCT (Haemato Oncology) , F.R.C. (Pathology) , MRCPath (Associate Haematology) , MRCP (UK) , D.N.B. (General Medicine) , M.D. (General Medicine) , M.B.B.S.","Medanta, IN","https://www.medanta.org/hospitals-near-me/gurugram-hospital/speciality/oncology/doctor/dr-nitin-sood"
